Fields classed as mixed,,
,,
Count of LCTYPE=1 means the same crop has been recorded twice for a field. Exclude for time being ,,
,,
Row Labels,Sum of AREA,Count of LCTYPE
NS/24720/11247,9,2
NS/24727/11489,8,2
NS/24865/11086,2,2
NS/25813/13205,18,2
NS/25881/12579,22,2
NS/25886/12978,12,2
NS/26503/10711,12,2
NS/26519/10916,6,2
NS/26694/10738,8,2
NS/26702/10899,4,2
NS/26880/10770,4,2
NS/27098/10688,6,2
NS/27155/10910,6,2
NS/27295/10676,10,2
NS/27391/11108,8,2
NS/27625/11119,8,2
NS/28071/11362,10,2
NS/31994/16514,8,2
NS/32030/17167,2,2
NS/32450/16813,2,2
NS/33685/77433,5,2
NS/35075/31430,16,2
NS/36989/33236,10,2
NS/37288/18275,10,2
NS/38583/36574,10,2
NS/38993/35824,12,2
NS/39000/36123,6,2
NS/39035/36501,10,2
NS/39458/17511,8,2
NS/39487/36179,18,2
NS/41165/24036,6,2
NS/43477/33908,5,2
NS/46686/35597,6,2
NS/46851/35331,7,2
NS/47605/35955,7,2
NS/56570/72561,5,2
NS/60269/71648,5,2
NS/61961/73082,11,2
NS/62015/73420,5,2
NS/65971/75685,3,2
NS/66115/75059,17,2
NS/66600/75688,8,2
NS/69008/99505,21,2
NS/73741/67337,6,2
NS/79849/86054,5,2
NS/80459/87169,5,2
NS/80520/86019,6,2
NS/81001/89234,4,2
NS/81291/89504,3,2
NS/84260/86140,5,2
NS/84486/89832,64,2
NS/85004/88698,40,2
NS/85561/90434,21,2
NS/85616/88415,13,2
NS/85677/90345,10,2
NS/87728/45317,0,2
NS/89452/44410,8,2
NS/91680/80271,11,2
NS/92474/88715,6,2
NS/92650/89381,25,2
NS/94044/46380,2,2
NS/94308/46471,6,2
NS/94420/46376,6,2
NS/94603/46524,2,2
NS/95744/80029,1,2
NS/96084/79526,36,2
NS/96393/73246,12,2
