"","FID_1","modelLessVarsPredictedNoLabels"
"399","NT/57094/27116","WBS"
"400","NT/58958/28698","WO"
"401","NT/58255/25942","PGRS"
"402","NT/58169/26071","WBS"
"403","NT/56898/24782","PGRS"
"404","NT/59263/26406","PGRS"
"405","NT/57893/29766","WW"
"406","NT/57033/24712","PGRS"
"407","NT/58977/20807","PGRS"
"408","NT/57846/21954","PGRS"
"409","NT/58631/22962","PGRS"
"410","NT/57914/27136","WO"
"411","NT/59756/20468","WPOT"
"412","NT/58657/26895","SB"
"413","NT/59515/25773","PGRS"
"414","NT/57854/24638","PGRS"
"415","NT/59349/21701","WO"
"416","NT/58073/23892","PGRS"
"417","NT/57109/26319","PGRS"
"418","NT/57510/26198","PGRS"
"419","NT/58830/27761","PGRS"
"420","NT/58740/27369","PGRS"
"421","NT/58643/27715","PGRS"
"422","NT/58677/28729","SB"
"423","NT/57545/29604","SB"
"424","NT/59095/28515","PGRS"
"425","NT/58772/27284","PGRS"
"426","NT/59521/23578","SB"
"427","NT/58019/25745","PGRS"
"428","NT/57727/26984","PGRS"
"429","NT/59808/20736","PGRS"
"430","NT/57660/25462","PGRS"
"431","NT/58113/25109","PGRS"
"432","NT/58926/26300","PGRS"
"433","NT/59910/28901","WOSR"
"434","NT/57908/21135","PGRS"
"435","NT/56943/26177","PGRS"
"436","NT/58399/25061","PGRS"
"437","NT/57812/27971","SB"
"438","NT/57402/29965","PGRS"
"439","NT/57635/28865","PGRS"
"440","NT/59435/28885","WOSR"
"441","NT/57637/29322","PGRS"
"442","NT/58463/29300","PGRS"
"443","NT/57636/21052","PGRS"
"444","NT/57762/22559","PGRS"
"445","NT/56998/24944","PGRS"
"446","NT/57950/22880","PGRS"
"447","NT/57570/23907","WOSR"
"448","NT/58144/23937","WBS"
"449","NT/58919/24787","SB"
"450","NT/58067/23093","PGRS"
"451","NT/59314/24915","SB"
"452","NT/58436/23631","PGRS"
"453","NT/59075/24207","SB"
"454","NT/57125/29921","PGRS"
"455","NT/56824/29817","PGRS"
"456","NT/59739/20663","WBS"
"457","NT/58486/28087","PGRS"
"458","NT/57854/26448","WB"
"459","NT/59278/29764","SB"
"460","NT/58062/23677","SB"
"461","NT/58985/27251","PGRS"
"462","NT/58460/27078","PGRS"
"463","NT/59275/23661","SO"
"464","NT/59227/26225","PGRS"
"465","NT/56972/27519","PGRS"
"466","NT/58654/29210","WW"
"467","NT/58968/25187","WW"
"468","NT/59582/25186","PGRS"
"469","NT/59750/29433","WW"
"470","NT/58773/24067","PGRS"
"471","NT/58371/26456","WW"
"472","NT/59495/27591","PGRS"
"473","NT/58643/28210","WB"
"474","NT/57247/28938","PGRS"
"475","NT/58355/29402","PGRS"
"476","NT/57686/29151","PGRS"
"477","NT/57504/25688","PGRS"
"478","NT/59330/21424","PGRS"
"479","NT/59048/21898","PGRS"
"480","NT/59223/25725","PGRS"
"481","NT/57412/29404","PGRS"
"482","NT/58237/24965","WB"
"483","NT/57355/26682","PGRS"
"484","NT/58374/28693","WB"
"485","NT/58698/21528","WW"
"486","NT/59600/26428","WB"
"487","NT/57195/27252","WW"
"488","NT/57111/23874","PGRS"
"489","NT/58868/23150","PGRS"
"490","NT/59874/20691","PGRS"
"491","NT/57870/25212","WB"
"492","NT/59138/25084","SB"
"493","NT/57429/21356","PGRS"
"494","NT/58057/25386","PGRS"
"495","NT/58888/22770","SB"
"496","NT/58472/22556","PGRS"
"497","NT/59125/20553","PGRS"
"498","NT/57843/25543","PGRS"
"499","NT/57005/27927","PGRS"
"500","NT/58272/25717","WW"
"501","NT/59447/26960","WW"
"502","NT/58944/25662","SO"
"503","NT/59192/23975","PGRS"
"504","NT/57825/24359","WW"
"505","NT/59230/27112","PGRS"
"506","NT/57033/26373","PGRS"
"507","NT/59530/29350","WW"
"508","NT/57988/28336","PGRS"
"509","NT/57095/28601","PGRS"
"510","NT/58667/23492","PGRS"
"511","NT/59648/27747","WW"
"512","NT/57657/21245","PGRS"
"513","NT/58416/25557","WOSR"
"514","NT/58500/27573","PGRS"
"515","NT/59842/29924","PGRS"
"516","NT/57064/24367","PGRS"
"517","NT/57316/26241","WW"
"518","NT/58468/29839","PGRS"
"519","NT/58088/24676","PGRS"
"520","NT/58839/29343","PGRS"
"521","NT/58692/24630","WW"
"522","NT/56943/29365","WW"
"523","NT/56756/22726","PGRS"
"524","NT/59459/24377","WOSR"
"525","NT/57919/23830","WBS"
"526","NT/59282/24477","SB"
"527","NT/59107/24048","PGRS"
"528","NT/59732/29832","PGRS"
"529","NT/57382/28851","PGRS"
"530","NT/58354/24011","WW"
"531","NT/59284/25633","PGRS"
"532","NT/57542/25356","PGRS"
"533","NT/58234/25195","PGRS"
"534","NT/57134/27649","PGRS"
"535","NT/57789/28983","PGRS"
"536","NT/57437/24116","WW"
"537","NT/56940/28337","PGRS"
"538","NT/58986/29405","PGRS"
"539","NT/57201/26239","PGRS"
"540","NT/57722/24944","SB"
"541","NT/58897/28044","PGRS"
"542","NT/59460/28343","PGRS"
"543","NT/57939/24837","SB"
"544","NT/58676/28652","SB"
"545","NT/58703/21060","WOSR"
"546","NT/57374/21275","PGRS"
"547","NT/59261/22911","PGRS"
"548","NT/57934/23254","PGRS"
"549","NT/59807/28811","PGRS"
"550","NT/56870/21033","WW"
"551","NT/57323/20760","PGRS"
"552","NT/58328/23285","PGRS"
"553","NT/58960/28333","WW"
"554","NT/56996/26256","PGRS"
"555","NT/57433/29116","PGRS"
"556","NT/58644/25457","PGRS"
"557","NT/59688/20873","PGRS"
"558","NT/56955/23321","WO"
"559","NT/57831/23530","SB"
"560","NT/58171/24792","PGRS"
"561","NT/58458/26112","PGRS"
"562","NT/59150/26713","PGRS"
"563","NT/57658/20087","PGRS"
"564","NT/57630/23733","WW"
"565","NT/58169/23564","PGRS"
"566","NT/58118/23935","PGRS"
"567","NT/57774/27552","WW"
"568","NT/57957/23810","WBS"
"569","NT/57162/25236","SB"
"570","NT/58172/22691","PGRS"
"571","NT/57351/29982","PGRS"
"572","NT/57949/29211","WOSR"
"573","NT/59348/20515","PGRS"
"574","NT/59074/25491","PGRS"
"575","NT/59174/28144","WW"
"576","NT/57222/20998","PGRS"
"577","NT/59109/20269","PGRS"
"578","NT/58531/20839","PGRS"
"579","NT/58467/27554","PGRS"
"580","NT/58787/27834","PGRS"
"581","NT/58266/27202","PGRS"
"582","NT/57638/27190","PGRS"
"583","NT/58087/22169","PGRS"
"584","NT/57911/26181","PGRS"
"585","NT/58903/27865","PGRS"
"586","NT/57325/21082","PGRS"
"587","NT/57337/29229","PGRS"
"588","NT/59617/28747","WW"
"589","NT/59836/20615","PGRS"
"590","NT/58159/27065","PGRS"
"591","NT/59851/20733","PGRS"
"592","NT/59725/24971","WB"
"593","NT/57407/25374","PGRS"
"594","NT/58290/27476","WOSR"
"595","NT/58599/21805","WW"
"596","NT/57279/26779","PGRS"
"597","NT/57442/27206","WBS"
"598","NT/56902/28093","PGRS"
"599","NT/58824/29117","WW"
"600","NT/58312/29413","PGRS"
"601","NT/57266/24937","WBS"
"602","NT/56820/29487","WW"
"603","NT/59609/22219","WB"
"604","NT/57695/20729","PGRS"
"605","NT/58757/29347","PGRS"
"606","NT/58395/29431","PGRS"
"607","NT/57932/23427","PGRS"
"608","NT/56931/24994","PGRS"
"609","NT/58901/20190","WOSR"
"610","NT/57120/29248","PGRS"
"611","NT/59590/21525","PGRS"
"612","NT/58962/23983","PGRS"
"613","NT/58469/24406","PGRS"
"614","NT/57985/29610","PGRS"
"615","NT/59984/23458","WB"
"616","NT/59862/27127","WOSR"
"617","NT/59981/21829","WO"
"618","NT/59797/29152","WB"
"619","NT/59877/28532","WB"
"620","NT/59482/26108","SB"
"621","NT/58806/26241","PGRS"
"622","NT/59946/25778","WW"
"623","NT/59799/25920","WW"
"624","NT/59774/29971","PGRS"
"625","NT/59943/24680","PGRS"
"626","NT/59938/22659","SB"
"627","NT/59982/29644","WW"
"628","NT/59929/26065","PGRS"
"629","NT/59906/20315","PGRS"
"630","NT/59886/24810","SB"
"631","NT/59765/21981","WW"
"632","NT/58975/21364","WW"
"633","NT/57542/20477","PGRS"
"634","NT/57770/20014","WBS"
"635","NT/59980/25228","SB"
"636","NT/59939/28788","PGRS"
"637","NT/59839/29108","PGRS"
"638","NT/59826/29093","PGRS"
"639","NT/59984/28989","WOSR"
"640","NT/59851/23005","PGRS"
"641","NT/59843/20943","WB"
"642","NT/59776/28934","WOSR"
"643","NT/58317/28543","PGRS"
"644","NT/57377/21019","PGRS"
"645","NT/56852/29022","PGRS"
"646","NT/59502/27355","WW"
"647","NT/59347/21153","PGRS"
"648","NT/58570/20434","WB"
"649","NT/59614/25384","WW"
"650","NT/59988/24343","WW"
"651","NT/59954/20568","PGRS"
"652","NT/59886/20398","PGRS"
"653","NT/59801/27609","PGRS"
"654","NT/59831/21321","WW"
"655","NT/59064/29199","PGRS"
"656","NT/59925/21133","PGRS"
"657","NT/59775/26167","WW"
"658","NT/59951/20827","PGRS"
"659","NT/59828/21568","SB"
"660","NT/59832/23189","WB"
